region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV charging points,EV,Publicly available fast,2017,charging points,40
Australia,Historical,EV charging points,EV,Publicly available slow,2017,charging points,440
Australia,Historical,EV charging points,EV,Publicly available fast,2018,charging points,61
Australia,Historical,EV charging points,EV,Publicly available slow,2018,charging points,670
Australia,Historical,EV charging points,EV,Publicly available fast,2019,charging points,250
Australia,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1700
Australia,Historical,EV charging points,EV,Publicly available fast,2020,charging points,350
Australia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2000
Australia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,350
Australia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2000
Belgium,Historical,EV charging points,EV,Publicly available fast,2013,charging points,47
Belgium,Historical,EV charging points,EV,Publicly available slow,2013,charging points,330
Belgium,Historical,EV charging points,EV,Publicly available fast,2014,charging points,55
Belgium,Historical,EV charging points,EV,Publicly available slow,2014,charging points,560
Belgium,Historical,EV charging points,EV,Publicly available fast,2015,charging points,77
Belgium,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1300
Belgium,Historical,EV charging points,EV,Publicly available fast,2016,charging points,110
Belgium,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1500
Belgium,Historical,EV charging points,EV,Publicly available fast,2017,charging points,220
Belgium,Historical,EV charging points,EV,Publicly available slow,2017,charging points,1500
Belgium,Historical,EV charging points,EV,Publicly available fast,2018,charging points,240
Belgium,Historical,EV charging points,EV,Publicly available slow,2018,charging points,2700
Belgium,Historical,EV charging points,EV,Publicly available fast,2019,charging points,360
Belgium,Historical,EV charging points,EV,Publicly available slow,2019,charging points,6100
Belgium,Historical,EV charging points,EV,Publicly available fast,2020,charging points,480
Belgium,Historical,EV charging points,EV,Publicly available slow,2020,charging points,8000
Belgium,Historical,EV charging points,EV,Publicly available fast,2021,charging points,790
Belgium,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12000
Brazil,Historical,EV charging points,EV,Publicly available fast,2018,charging points,4.900000095367432
Brazil,Historical,EV charging points,EV,Publicly available slow,2018,charging points,450
Brazil,Historical,EV charging points,EV,Publicly available fast,2019,charging points,4.900000095367432
Brazil,Historical,EV charging points,EV,Publicly available slow,2019,charging points,450
Brazil,Historical,EV charging points,EV,Publicly available fast,2020,charging points,4.900000095367432
Brazil,Historical,EV charging points,EV,Publicly available slow,2020,charging points,450
Brazil,Historical,EV charging points,EV,Publicly available fast,2021,charging points,4.900000095367432
Brazil,Historical,EV charging points,EV,Publicly available slow,2021,charging points,450
Canada,Historical,EV charging points,EV,Publicly available fast,2012,charging points,2
Canada,Historical,EV charging points,EV,Publicly available slow,2012,charging points,720
Canada,Historical,EV charging points,EV,Publicly available fast,2013,charging points,7
Canada,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1200
Canada,Historical,EV charging points,EV,Publicly available fast,2014,charging points,55
Canada,Historical,EV charging points,EV,Publicly available slow,2014,charging points,2300
Canada,Historical,EV charging points,EV,Publicly available fast,2015,charging points,63
Canada,Historical,EV charging points,EV,Publicly available slow,2015,charging points,3400
Canada,Historical,EV charging points,EV,Publicly available fast,2016,charging points,140
Canada,Historical,EV charging points,EV,Publicly available slow,2016,charging points,3900
Canada,Historical,EV charging points,EV,Publicly available fast,2017,charging points,670
Canada,Historical,EV charging points,EV,Publicly available slow,2017,charging points,5200
Canada,Historical,EV charging points,EV,Publicly available fast,2018,charging points,840
Canada,Historical,EV charging points,EV,Publicly available slow,2018,charging points,7100
Canada,Historical,EV charging points,EV,Publicly available fast,2019,charging points,980
Canada,Historical,EV charging points,EV,Publicly available slow,2019,charging points,8000
Canada,Historical,EV charging points,EV,Publicly available fast,2020,charging points,2300
Canada,Historical,EV charging points,EV,Publicly available slow,2020,charging points,11000
Canada,Historical,EV charging points,EV,Publicly available fast,2021,charging points,3100
Canada,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12000
Chile,Historical,EV charging points,EV,Publicly available fast,2011,charging points,1
Chile,Historical,EV charging points,EV,Publicly available slow,2011,charging points,1
Chile,Historical,EV charging points,EV,Publicly available fast,2012,charging points,4
Chile,Historical,EV charging points,EV,Publicly available slow,2012,charging points,6
Chile,Historical,EV charging points,EV,Publicly available fast,2013,charging points,5
Chile,Historical,EV charging points,EV,Publicly available slow,2013,charging points,8
Chile,Historical,EV charging points,EV,Publicly available fast,2014,charging points,5
Chile,Historical,EV charging points,EV,Publicly available slow,2014,charging points,13
Chile,Historical,EV charging points,EV,Publicly available fast,2015,charging points,5
Chile,Historical,EV charging points,EV,Publicly available slow,2015,charging points,22
Chile,Historical,EV charging points,EV,Publicly available fast,2016,charging points,5
Chile,Historical,EV charging points,EV,Publicly available slow,2016,charging points,22
Chile,Historical,EV charging points,EV,Publicly available fast,2017,charging points,6
Chile,Historical,EV charging points,EV,Publicly available slow,2017,charging points,35
Chile,Historical,EV charging points,EV,Publicly available fast,2018,charging points,8
Chile,Historical,EV charging points,EV,Publicly available slow,2018,charging points,61
Chile,Historical,EV charging points,EV,Publicly available fast,2019,charging points,42
Chile,Historical,EV charging points,EV,Publicly available slow,2019,charging points,130
Chile,Historical,EV charging points,EV,Publicly available fast,2020,charging points,84
Chile,Historical,EV charging points,EV,Publicly available slow,2020,charging points,270
Chile,Historical,EV charging points,EV,Publicly available fast,2021,charging points,120
Chile,Historical,EV charging points,EV,Publicly available slow,2021,charging points,360
China,Historical,EV charging points,EV,Publicly available fast,2014,charging points,9000
China,Historical,EV charging points,EV,Publicly available slow,2014,charging points,21000
China,Historical,EV charging points,EV,Publicly available fast,2015,charging points,12000
China,Historical,EV charging points,EV,Publicly available slow,2015,charging points,47000
China,Historical,EV charging points,EV,Publicly available fast,2016,charging points,55000
China,Historical,EV charging points,EV,Publicly available slow,2016,charging points,86000
China,Historical,EV charging points,EV,Publicly available fast,2017,charging points,83000
China,Historical,EV charging points,EV,Publicly available slow,2017,charging points,130000
China,Historical,EV charging points,EV,Publicly available fast,2018,charging points,110000
China,Historical,EV charging points,EV,Publicly available slow,2018,charging points,160000
China,Historical,EV charging points,EV,Publicly available fast,2019,charging points,210000
China,Historical,EV charging points,EV,Publicly available slow,2019,charging points,300000
China,Historical,EV charging points,EV,Publicly available fast,2020,charging points,310000
China,Historical,EV charging points,EV,Publicly available slow,2020,charging points,500000
China,Historical,EV charging points,EV,Publicly available fast,2021,charging points,470000
China,Historical,EV charging points,EV,Publicly available slow,2021,charging points,680000
Denmark,Historical,EV charging points,EV,Publicly available fast,2012,charging points,3
Denmark,Historical,EV charging points,EV,Publicly available slow,2012,charging points,450
Denmark,Historical,EV charging points,EV,Publicly available fast,2013,charging points,56
Denmark,Historical,EV charging points,EV,Publicly available slow,2013,charging points,500
Denmark,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120
Denmark,Historical,EV charging points,EV,Publicly available slow,2014,charging points,810
Denmark,Historical,EV charging points,EV,Publicly available fast,2015,charging points,270
Denmark,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1000
Denmark,Historical,EV charging points,EV,Publicly available fast,2016,charging points,310
Denmark,Historical,EV charging points,EV,Publicly available slow,2016,charging points,2100
Denmark,Historical,EV charging points,EV,Publicly available fast,2017,charging points,370
Denmark,Historical,EV charging points,EV,Publicly available slow,2017,charging points,2100
Denmark,Historical,EV charging points,EV,Publicly available fast,2018,charging points,390
Denmark,Historical,EV charging points,EV,Publicly available slow,2018,charging points,2200
Denmark,Historical,EV charging points,EV,Publicly available fast,2019,charging points,450
Denmark,Historical,EV charging points,EV,Publicly available slow,2019,charging points,2200
Denmark,Historical,EV charging points,EV,Publicly available fast,2020,charging points,560
Denmark,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2700
Denmark,Historical,EV charging points,EV,Publicly available fast,2021,charging points,680
Denmark,Historical,EV charging points,EV,Publicly available slow,2021,charging points,3500
Finland,Historical,EV charging points,EV,Publicly available fast,2013,charging points,17
Finland,Historical,EV charging points,EV,Publicly available slow,2013,charging points,250
Finland,Historical,EV charging points,EV,Publicly available fast,2014,charging points,26
Finland,Historical,EV charging points,EV,Publicly available slow,2014,charging points,360
Finland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,130
Finland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,710
Finland,Historical,EV charging points,EV,Publicly available fast,2016,charging points,140
Finland,Historical,EV charging points,EV,Publicly available slow,2016,charging points,710
Finland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,140
Finland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,710
Finland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,220
Finland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,710
Finland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,340
Finland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1800
Finland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,410
Finland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,3900
Finland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,770
Finland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,5800
France,Historical,EV charging points,EV,Publicly available fast,2012,charging points,9
France,Historical,EV charging points,EV,Publicly available slow,2012,charging points,800
France,Historical,EV charging points,EV,Publicly available fast,2013,charging points,100
France,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1700
France,Historical,EV charging points,EV,Publicly available fast,2014,charging points,110
France,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1700
France,Historical,EV charging points,EV,Publicly available fast,2015,charging points,580
France,Historical,EV charging points,EV,Publicly available slow,2015,charging points,9900
France,Historical,EV charging points,EV,Publicly available fast,2016,charging points,1000
France,Historical,EV charging points,EV,Publicly available slow,2016,charging points,19000
France,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1000
France,Historical,EV charging points,EV,Publicly available slow,2017,charging points,20000
France,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1700
France,Historical,EV charging points,EV,Publicly available slow,2018,charging points,23000
France,Historical,EV charging points,EV,Publicly available fast,2019,charging points,2000
France,Historical,EV charging points,EV,Publicly available slow,2019,charging points,28000
France,Historical,EV charging points,EV,Publicly available fast,2020,charging points,3300
France,Historical,EV charging points,EV,Publicly available slow,2020,charging points,31000
France,Historical,EV charging points,EV,Publicly available fast,2021,charging points,4500
France,Historical,EV charging points,EV,Publicly available slow,2021,charging points,50000
Germany,Historical,EV charging points,EV,Publicly available fast,2012,charging points,18
Germany,Historical,EV charging points,EV,Publicly available slow,2012,charging points,1500
Germany,Historical,EV charging points,EV,Publicly available fast,2013,charging points,47
Germany,Historical,EV charging points,EV,Publicly available slow,2013,charging points,2400
Germany,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120
Germany,Historical,EV charging points,EV,Publicly available slow,2014,charging points,2600
Germany,Historical,EV charging points,EV,Publicly available fast,2015,charging points,470
Germany,Historical,EV charging points,EV,Publicly available slow,2015,charging points,4600
Germany,Historical,EV charging points,EV,Publicly available fast,2016,charging points,1700
Germany,Historical,EV charging points,EV,Publicly available slow,2016,charging points,22000
Germany,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1800
Germany,Historical,EV charging points,EV,Publicly available slow,2017,charging points,22000
Germany,Historical,EV charging points,EV,Publicly available fast,2018,charging points,2600
Germany,Historical,EV charging points,EV,Publicly available slow,2018,charging points,23000
Germany,Historical,EV charging points,EV,Publicly available fast,2019,charging points,5100
Germany,Historical,EV charging points,EV,Publicly available slow,2019,charging points,34000
Germany,Historical,EV charging points,EV,Publicly available fast,2020,charging points,7500
Germany,Historical,EV charging points,EV,Publicly available slow,2020,charging points,37000
Germany,Historical,EV charging points,EV,Publicly available fast,2021,charging points,9200
Germany,Historical,EV charging points,EV,Publicly available slow,2021,charging points,42000
Greece,Historical,EV charging points,EV,Publicly available fast,2018,charging points,22
Greece,Historical,EV charging points,EV,Publicly available fast,2019,charging points,22
Greece,Historical,EV charging points,EV,Publicly available slow,2019,charging points,12
Greece,Historical,EV charging points,EV,Publicly available fast,2020,charging points,29
Greece,Historical,EV charging points,EV,Publicly available slow,2020,charging points,160
Greece,Historical,EV charging points,EV,Publicly available fast,2021,charging points,79
Greece,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1100
Iceland,Historical,EV charging points,EV,Publicly available fast,2014,charging points,6
Iceland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,11
Iceland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,11
Iceland,Historical,EV charging points,EV,Publicly available fast,2016,charging points,40
Iceland,Historical,EV charging points,EV,Publicly available slow,2016,charging points,11
Iceland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,36
Iceland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,32
Iceland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,55
Iceland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,40
Iceland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,150
Iceland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,110
Iceland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,190
Iceland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,290
Iceland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,120
Iceland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,560
India,Historical,EV charging points,EV,Publicly available fast,2016,charging points,25
India,Historical,EV charging points,EV,Publicly available fast,2017,charging points,25
India,Historical,EV charging points,EV,Publicly available slow,2017,charging points,220
India,Historical,EV charging points,EV,Publicly available fast,2018,charging points,25
India,Historical,EV charging points,EV,Publicly available slow,2018,charging points,330
India,Historical,EV charging points,EV,Publicly available fast,2019,charging points,25
India,Historical,EV charging points,EV,Publicly available slow,2019,charging points,330
India,Historical,EV charging points,EV,Publicly available fast,2020,charging points,25
India,Historical,EV charging points,EV,Publicly available slow,2020,charging points,540
India,Historical,EV charging points,EV,Publicly available fast,2021,charging points,32
India,Historical,EV charging points,EV,Publicly available slow,2021,charging points,910
Indonesia,Historical,EV charging points,EV,Publicly available fast,2020,charging points,51
Indonesia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,50
Indonesia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,130
Indonesia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,54
Italy,Historical,EV charging points,EV,Publicly available fast,2012,charging points,1
Italy,Historical,EV charging points,EV,Publicly available slow,2012,charging points,1400
Italy,Historical,EV charging points,EV,Publicly available fast,2013,charging points,6
Italy,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1400
Italy,Historical,EV charging points,EV,Publicly available fast,2014,charging points,10
Italy,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1400
Italy,Historical,EV charging points,EV,Publicly available fast,2015,charging points,70
Italy,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1700
Italy,Historical,EV charging points,EV,Publicly available fast,2016,charging points,170
Italy,Historical,EV charging points,EV,Publicly available slow,2016,charging points,2300
Italy,Historical,EV charging points,EV,Publicly available fast,2017,charging points,390
Italy,Historical,EV charging points,EV,Publicly available slow,2017,charging points,2400
Italy,Historical,EV charging points,EV,Publicly available fast,2018,charging points,570
Italy,Historical,EV charging points,EV,Publicly available slow,2018,charging points,2900
Italy,Historical,EV charging points,EV,Publicly available fast,2019,charging points,860
Italy,Historical,EV charging points,EV,Publicly available slow,2019,charging points,8300
Italy,Historical,EV charging points,EV,Publicly available fast,2020,charging points,1200
Italy,Historical,EV charging points,EV,Publicly available slow,2020,charging points,12000
Italy,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2200
Italy,Historical,EV charging points,EV,Publicly available slow,2021,charging points,20000
Japan,Historical,EV charging points,EV,Publicly available fast,2010,charging points,310
Japan,Historical,EV charging points,EV,Publicly available fast,2011,charging points,800
Japan,Historical,EV charging points,EV,Publicly available fast,2012,charging points,1400
Japan,Historical,EV charging points,EV,Publicly available fast,2013,charging points,1800
Japan,Historical,EV charging points,EV,Publicly available fast,2014,charging points,2900
Japan,Historical,EV charging points,EV,Publicly available slow,2014,charging points,8600
Japan,Historical,EV charging points,EV,Publicly available fast,2015,charging points,6000
Japan,Historical,EV charging points,EV,Publicly available slow,2015,charging points,16000
Japan,Historical,EV charging points,EV,Publicly available fast,2016,charging points,7100
Japan,Historical,EV charging points,EV,Publicly available slow,2016,charging points,17000
Japan,Historical,EV charging points,EV,Publicly available fast,2017,charging points,7300
Japan,Historical,EV charging points,EV,Publicly available slow,2017,charging points,22000
Japan,Historical,EV charging points,EV,Publicly available fast,2018,charging points,7700
Japan,Historical,EV charging points,EV,Publicly available slow,2018,charging points,22000
Japan,Historical,EV charging points,EV,Publicly available fast,2019,charging points,7900
Japan,Historical,EV charging points,EV,Publicly available slow,2019,charging points,23000
Japan,Historical,EV charging points,EV,Publicly available fast,2020,charging points,7900
Japan,Historical,EV charging points,EV,Publicly available slow,2020,charging points,22000
Japan,Historical,EV charging points,EV,Publicly available fast,2021,charging points,8000
Japan,Historical,EV charging points,EV,Publicly available slow,2021,charging points,21000
Korea,Historical,EV charging points,EV,Publicly available fast,2016,charging points,920
Korea,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1100
Korea,Historical,EV charging points,EV,Publicly available fast,2017,charging points,3300
Korea,Historical,EV charging points,EV,Publicly available slow,2017,charging points,10000
Korea,Historical,EV charging points,EV,Publicly available fast,2018,charging points,5200
Korea,Historical,EV charging points,EV,Publicly available slow,2018,charging points,22000
Korea,Historical,EV charging points,EV,Publicly available fast,2019,charging points,7400
Korea,Historical,EV charging points,EV,Publicly available slow,2019,charging points,37000
Korea,Historical,EV charging points,EV,Publicly available fast,2020,charging points,9800
Korea,Historical,EV charging points,EV,Publicly available slow,2020,charging points,54000
Korea,Historical,EV charging points,EV,Publicly available fast,2021,charging points,15000
Korea,Historical,EV charging points,EV,Publicly available slow,2021,charging points,92000
Mexico,Historical,EV charging points,EV,Publicly available slow,2016,charging points,56
Mexico,Historical,EV charging points,EV,Publicly available fast,2017,charging points,19
Mexico,Historical,EV charging points,EV,Publicly available slow,2017,charging points,360
Mexico,Historical,EV charging points,EV,Publicly available fast,2018,charging points,30
Mexico,Historical,EV charging points,EV,Publicly available slow,2018,charging points,850
