region,category,parameter,mode,powertrain,year,unit,value
Mexico,Historical,EV charging points,EV,Publicly available fast,2019,charging points,46
Mexico,Historical,EV charging points,EV,Publicly available slow,2019,charging points,980
Mexico,Historical,EV charging points,EV,Publicly available fast,2020,charging points,79
Mexico,Historical,EV charging points,EV,Publicly available slow,2020,charging points,1200
Mexico,Historical,EV charging points,EV,Publicly available fast,2021,charging points,92
Mexico,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1200
Netherlands,Historical,EV charging points,EV,Publicly available slow,2010,charging points,400
Netherlands,Historical,EV charging points,EV,Publicly available slow,2011,charging points,400
Netherlands,Historical,EV charging points,EV,Publicly available fast,2012,charging points,21
Netherlands,Historical,EV charging points,EV,Publicly available slow,2012,charging points,2800
Netherlands,Historical,EV charging points,EV,Publicly available fast,2013,charging points,21
Netherlands,Historical,EV charging points,EV,Publicly available slow,2013,charging points,5800
Netherlands,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120
Netherlands,Historical,EV charging points,EV,Publicly available slow,2014,charging points,12000
Netherlands,Historical,EV charging points,EV,Publicly available fast,2015,charging points,220
Netherlands,Historical,EV charging points,EV,Publicly available slow,2015,charging points,18000
Netherlands,Historical,EV charging points,EV,Publicly available fast,2016,charging points,400
Netherlands,Historical,EV charging points,EV,Publicly available slow,2016,charging points,32000
Netherlands,Historical,EV charging points,EV,Publicly available fast,2017,charging points,410
Netherlands,Historical,EV charging points,EV,Publicly available slow,2017,charging points,33000
Netherlands,Historical,EV charging points,EV,Publicly available fast,2018,charging points,820
Netherlands,Historical,EV charging points,EV,Publicly available slow,2018,charging points,36000
Netherlands,Historical,EV charging points,EV,Publicly available fast,2019,charging points,830
Netherlands,Historical,EV charging points,EV,Publicly available slow,2019,charging points,49000
Netherlands,Historical,EV charging points,EV,Publicly available fast,2020,charging points,2000
Netherlands,Historical,EV charging points,EV,Publicly available slow,2020,charging points,64000
Netherlands,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2600
Netherlands,Historical,EV charging points,EV,Publicly available slow,2021,charging points,83000
New Zealand,Historical,EV charging points,EV,Publicly available fast,2017,charging points,100
New Zealand,Historical,EV charging points,EV,Publicly available fast,2018,charging points,200
New Zealand,Historical,EV charging points,EV,Publicly available slow,2018,charging points,89
New Zealand,Historical,EV charging points,EV,Publicly available fast,2019,charging points,260
New Zealand,Historical,EV charging points,EV,Publicly available slow,2019,charging points,130
New Zealand,Historical,EV charging points,EV,Publicly available fast,2020,charging points,310
New Zealand,Historical,EV charging points,EV,Publicly available slow,2020,charging points,150
New Zealand,Historical,EV charging points,EV,Publicly available fast,2021,charging points,430
New Zealand,Historical,EV charging points,EV,Publicly available slow,2021,charging points,170
Norway,Historical,EV charging points,EV,Publicly available slow,2010,charging points,2800
Norway,Historical,EV charging points,EV,Publicly available fast,2011,charging points,18
Norway,Historical,EV charging points,EV,Publicly available slow,2011,charging points,3100
Norway,Historical,EV charging points,EV,Publicly available fast,2012,charging points,58
Norway,Historical,EV charging points,EV,Publicly available slow,2012,charging points,3700
Norway,Historical,EV charging points,EV,Publicly available fast,2013,charging points,96
Norway,Historical,EV charging points,EV,Publicly available slow,2013,charging points,4500
Norway,Historical,EV charging points,EV,Publicly available fast,2014,charging points,110
Norway,Historical,EV charging points,EV,Publicly available slow,2014,charging points,5200
Norway,Historical,EV charging points,EV,Publicly available fast,2015,charging points,330
Norway,Historical,EV charging points,EV,Publicly available slow,2015,charging points,5200
Norway,Historical,EV charging points,EV,Publicly available fast,2016,charging points,500
Norway,Historical,EV charging points,EV,Publicly available slow,2016,charging points,7000
Norway,Historical,EV charging points,EV,Publicly available fast,2017,charging points,920
Norway,Historical,EV charging points,EV,Publicly available slow,2017,charging points,8300
Norway,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1200
Norway,Historical,EV charging points,EV,Publicly available slow,2018,charging points,9300
Norway,Historical,EV charging points,EV,Publicly available fast,2019,charging points,4000
Norway,Historical,EV charging points,EV,Publicly available slow,2019,charging points,10000
Norway,Historical,EV charging points,EV,Publicly available fast,2020,charging points,5300
Norway,Historical,EV charging points,EV,Publicly available slow,2020,charging points,12000
Norway,Historical,EV charging points,EV,Publicly available fast,2021,charging points,6700
Norway,Historical,EV charging points,EV,Publicly available slow,2021,charging points,13000
Other Europe,Historical,EV charging points,EV,Publicly available fast,2011,charging points,7
Other Europe,Historical,EV charging points,EV,Publicly available slow,2011,charging points,49
Other Europe,Historical,EV charging points,EV,Publicly available fast,2012,charging points,190
Other Europe,Historical,EV charging points,EV,Publicly available slow,2012,charging points,1300
Other Europe,Historical,EV charging points,EV,Publicly available fast,2013,charging points,240
Other Europe,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1800
Other Europe,Historical,EV charging points,EV,Publicly available fast,2014,charging points,340
Other Europe,Historical,EV charging points,EV,Publicly available slow,2014,charging points,2600
Other Europe,Historical,EV charging points,EV,Publicly available fast,2015,charging points,630
Other Europe,Historical,EV charging points,EV,Publicly available slow,2015,charging points,3400
Other Europe,Historical,EV charging points,EV,Publicly available fast,2016,charging points,880
Other Europe,Historical,EV charging points,EV,Publicly available slow,2016,charging points,4400
Other Europe,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1400
Other Europe,Historical,EV charging points,EV,Publicly available slow,2017,charging points,6700
Other Europe,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1800
Other Europe,Historical,EV charging points,EV,Publicly available slow,2018,charging points,8000
Other Europe,Historical,EV charging points,EV,Publicly available fast,2019,charging points,2400
Other Europe,Historical,EV charging points,EV,Publicly available slow,2019,charging points,8800
Other Europe,Historical,EV charging points,EV,Publicly available fast,2020,charging points,4100
Other Europe,Historical,EV charging points,EV,Publicly available slow,2020,charging points,14000
Poland,Historical,EV charging points,EV,Publicly available fast,2014,charging points,4
Poland,Historical,EV charging points,EV,Publicly available slow,2014,charging points,120
Poland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,8
Poland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,290
Poland,Historical,EV charging points,EV,Publicly available fast,2016,charging points,32
Poland,Historical,EV charging points,EV,Publicly available slow,2016,charging points,290
Poland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,110
Poland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,410
Poland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,280
Poland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,490
Poland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,310
Poland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,530
Poland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,680
Poland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,780
Poland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1400
Poland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2300
Portugal,Historical,EV charging points,EV,Publicly available fast,2011,charging points,6
Portugal,Historical,EV charging points,EV,Publicly available slow,2011,charging points,1100
Portugal,Historical,EV charging points,EV,Publicly available fast,2012,charging points,7
Portugal,Historical,EV charging points,EV,Publicly available slow,2012,charging points,1100
Portugal,Historical,EV charging points,EV,Publicly available fast,2013,charging points,17
Portugal,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1200
Portugal,Historical,EV charging points,EV,Publicly available fast,2014,charging points,17
Portugal,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1200
Portugal,Historical,EV charging points,EV,Publicly available fast,2015,charging points,22
Portugal,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1200
Portugal,Historical,EV charging points,EV,Publicly available fast,2016,charging points,41
Portugal,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1300
Portugal,Historical,EV charging points,EV,Publicly available fast,2017,charging points,150
Portugal,Historical,EV charging points,EV,Publicly available slow,2017,charging points,1500
Portugal,Historical,EV charging points,EV,Publicly available fast,2018,charging points,180
Portugal,Historical,EV charging points,EV,Publicly available slow,2018,charging points,1600
Portugal,Historical,EV charging points,EV,Publicly available fast,2019,charging points,360
Portugal,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1600
Portugal,Historical,EV charging points,EV,Publicly available fast,2020,charging points,650
Portugal,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2200
Portugal,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1400
Portugal,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2800
South Africa,Historical,EV charging points,EV,Publicly available fast,2017,charging points,37
South Africa,Historical,EV charging points,EV,Publicly available slow,2017,charging points,87
South Africa,Historical,EV charging points,EV,Publicly available fast,2018,charging points,81
South Africa,Historical,EV charging points,EV,Publicly available slow,2018,charging points,160
South Africa,Historical,EV charging points,EV,Publicly available fast,2019,charging points,130
South Africa,Historical,EV charging points,EV,Publicly available slow,2019,charging points,110
South Africa,Historical,EV charging points,EV,Publicly available fast,2020,charging points,160
South Africa,Historical,EV charging points,EV,Publicly available slow,2020,charging points,140
South Africa,Historical,EV charging points,EV,Publicly available fast,2021,charging points,160
South Africa,Historical,EV charging points,EV,Publicly available slow,2021,charging points,140
Spain,Historical,EV charging points,EV,Publicly available slow,2012,charging points,400
Spain,Historical,EV charging points,EV,Publicly available fast,2013,charging points,91
Spain,Historical,EV charging points,EV,Publicly available slow,2013,charging points,800
Spain,Historical,EV charging points,EV,Publicly available fast,2014,charging points,110
Spain,Historical,EV charging points,EV,Publicly available slow,2014,charging points,800
Spain,Historical,EV charging points,EV,Publicly available fast,2015,charging points,240
Spain,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1400
Spain,Historical,EV charging points,EV,Publicly available fast,2016,charging points,230
Spain,Historical,EV charging points,EV,Publicly available slow,2016,charging points,3300
Spain,Historical,EV charging points,EV,Publicly available fast,2017,charging points,600
Spain,Historical,EV charging points,EV,Publicly available slow,2017,charging points,4300
Spain,Historical,EV charging points,EV,Publicly available fast,2018,charging points,620
Spain,Historical,EV charging points,EV,Publicly available slow,2018,charging points,4400
Spain,Historical,EV charging points,EV,Publicly available fast,2019,charging points,1000
Spain,Historical,EV charging points,EV,Publicly available slow,2019,charging points,4500
Spain,Historical,EV charging points,EV,Publicly available fast,2020,charging points,2100
Spain,Historical,EV charging points,EV,Publicly available slow,2020,charging points,6000
Spain,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2600
Spain,Historical,EV charging points,EV,Publicly available slow,2021,charging points,5600
Sweden,Historical,EV charging points,EV,Publicly available fast,2012,charging points,5
Sweden,Historical,EV charging points,EV,Publicly available slow,2012,charging points,500
Sweden,Historical,EV charging points,EV,Publicly available fast,2013,charging points,1000
Sweden,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1000
Sweden,Historical,EV charging points,EV,Publicly available fast,2014,charging points,1100
Sweden,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1100
Sweden,Historical,EV charging points,EV,Publicly available fast,2015,charging points,1300
Sweden,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1300
Sweden,Historical,EV charging points,EV,Publicly available fast,2016,charging points,1700
Sweden,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1700
Sweden,Historical,EV charging points,EV,Publicly available fast,2017,charging points,790
Sweden,Historical,EV charging points,EV,Publicly available slow,2017,charging points,2600
Sweden,Historical,EV charging points,EV,Publicly available fast,2018,charging points,900
Sweden,Historical,EV charging points,EV,Publicly available slow,2018,charging points,3200
Sweden,Historical,EV charging points,EV,Publicly available fast,2019,charging points,1000
Sweden,Historical,EV charging points,EV,Publicly available slow,2019,charging points,4000
Sweden,Historical,EV charging points,EV,Publicly available fast,2020,charging points,1600
Sweden,Historical,EV charging points,EV,Publicly available slow,2020,charging points,8800
Sweden,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1600
Sweden,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12000
Switzerland,Historical,EV charging points,EV,Publicly available fast,2012,charging points,4
Switzerland,Historical,EV charging points,EV,Publicly available slow,2012,charging points,400
Switzerland,Historical,EV charging points,EV,Publicly available fast,2013,charging points,27
Switzerland,Historical,EV charging points,EV,Publicly available slow,2013,charging points,600
Switzerland,Historical,EV charging points,EV,Publicly available fast,2014,charging points,99
Switzerland,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1300
Switzerland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,210
Switzerland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,3400
Switzerland,Historical,EV charging points,EV,Publicly available fast,2016,charging points,280
Switzerland,Historical,EV charging points,EV,Publicly available slow,2016,charging points,3500
Switzerland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,500
Switzerland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,3500
Switzerland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,650
Switzerland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,4400
Switzerland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,790
Switzerland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,5400
Switzerland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,1200
Switzerland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,6700
Switzerland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1600
Switzerland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,6600
Thailand,Historical,EV charging points,EV,Publicly available fast,2017,charging points,8
Thailand,Historical,EV charging points,EV,Publicly available slow,2017,charging points,88
Thailand,Historical,EV charging points,EV,Publicly available fast,2018,charging points,8
Thailand,Historical,EV charging points,EV,Publicly available slow,2018,charging points,88
Thailand,Historical,EV charging points,EV,Publicly available fast,2019,charging points,69
Thailand,Historical,EV charging points,EV,Publicly available slow,2019,charging points,750
Thailand,Historical,EV charging points,EV,Publicly available fast,2020,charging points,710
Thailand,Historical,EV charging points,EV,Publicly available slow,2020,charging points,1200
Thailand,Historical,EV charging points,EV,Publicly available fast,2021,charging points,770
Thailand,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1500
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2011,charging points,1500
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2012,charging points,36
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2012,charging points,2800
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2013,charging points,260
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2013,charging points,5400
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2014,charging points,520
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2014,charging points,7200
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2015,charging points,1100
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2015,charging points,8200
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2016,charging points,1800
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2016,charging points,11000
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2017,charging points,2200
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2017,charging points,13000
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2018,charging points,2700
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2018,charging points,15000
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2019,charging points,4700
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2019,charging points,22000
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2020,charging points,6200
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2020,charging points,27000
United Kingdom,Historical,EV charging points,EV,Publicly available fast,2021,charging points,7700
United Kingdom,Historical,EV charging points,EV,Publicly available slow,2021,charging points,29000
USA,Historical,EV charging points,EV,Publicly available slow,2010,charging points,480
USA,Historical,EV charging points,EV,Publicly available slow,2011,charging points,3900
USA,Historical,EV charging points,EV,Publicly available slow,2012,charging points,12000
USA,Historical,EV charging points,EV,Publicly available slow,2013,charging points,15000
USA,Historical,EV charging points,EV,Publicly available slow,2014,charging points,20000
USA,Historical,EV charging points,EV,Publicly available fast,2015,charging points,3500
USA,Historical,EV charging points,EV,Publicly available slow,2015,charging points,28000
USA,Historical,EV charging points,EV,Publicly available fast,2016,charging points,3100
USA,Historical,EV charging points,EV,Publicly available slow,2016,charging points,35000
USA,Historical,EV charging points,EV,Publicly available fast,2017,charging points,3400
USA,Historical,EV charging points,EV,Publicly available slow,2017,charging points,40000
USA,Historical,EV charging points,EV,Publicly available fast,2018,charging points,4200
USA,Historical,EV charging points,EV,Publicly available slow,2018,charging points,50000
USA,Historical,EV charging points,EV,Publicly available fast,2019,charging points,13000
USA,Historical,EV charging points,EV,Publicly available slow,2019,charging points,64000
USA,Historical,EV charging points,EV,Publicly available fast,2020,charging points,17000
USA,Historical,EV charging points,EV,Publicly available slow,2020,charging points,82000
USA,Historical,EV charging points,EV,Publicly available fast,2021,charging points,22000
USA,Historical,EV charging points,EV,Publicly available slow,2021,charging points,92000
World,Historical,EV charging points,EV,Publicly available fast,2010,charging points,310
World,Historical,EV charging points,EV,Publicly available slow,2010,charging points,3700
World,Historical,EV charging points,EV,Publicly available fast,2011,charging points,830
World,Historical,EV charging points,EV,Publicly available slow,2011,charging points,10000
World,Historical,EV charging points,EV,Publicly available fast,2012,charging points,1700
World,Historical,EV charging points,EV,Publicly available slow,2012,charging points,30000
World,Historical,EV charging points,EV,Publicly available fast,2013,charging points,3800
World,Historical,EV charging points,EV,Publicly available slow,2013,charging points,44000
World,Historical,EV charging points,EV,Publicly available fast,2014,charging points,15000
World,Historical,EV charging points,EV,Publicly available slow,2014,charging points,91000
World,Historical,EV charging points,EV,Publicly available fast,2015,charging points,27000
World,Historical,EV charging points,EV,Publicly available slow,2015,charging points,160000
World,Historical,EV charging points,EV,Publicly available fast,2016,charging points,75000
World,Historical,EV charging points,EV,Publicly available slow,2016,charging points,260000
World,Historical,EV charging points,EV,Publicly available fast,2017,charging points,110000
World,Historical,EV charging points,EV,Publicly available slow,2017,charging points,330000
World,Historical,EV charging points,EV,Publicly available fast,2018,charging points,140000
World,Historical,EV charging points,EV,Publicly available slow,2018,charging points,400000
World,Historical,EV charging points,EV,Publicly available fast,2019,charging points,270000
World,Historical,EV charging points,EV,Publicly available slow,2019,charging points,630000
World,Historical,EV charging points,EV,Publicly available fast,2020,charging points,390000
World,Historical,EV charging points,EV,Publicly available slow,2020,charging points,910000
World,Historical,EV charging points,EV,Publicly available fast,2021,charging points,560000
World,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1200000
